subj,arch,appr,ArchAppr,rep,acc
20,1,2,2,8,0.971402233
20,1,2,2,9,0.960651058
20,1,2,2,10,0.966573553
20,2,1,3,1,0.816776988
20,2,1,3,2,0.809408949
20,2,1,3,3,0.822952542
20,2,1,3,4,0.882486259
20,2,1,3,5,0.80879219
20,2,1,3,6,0.826239552
20,2,1,3,7,0.835360396
20,2,1,3,8,0.815661596
20,2,1,3,9,0.806229917
20,2,1,3,10,0.84570951
20,2,2,4,1,0.801834591
20,2,2,4,2,0.809111715
20,2,2,4,3,0.800747723
20,2,2,4,4,0.791422417
20,2,2,4,5,0.794480668
20,2,2,4,6,0.792283323
20,2,2,4,7,0.806091448
20,2,2,4,8,0.794391366
20,2,2,4,9,0.780199135
20,2,2,4,10,0.799707699
21,1,1,1,1,0.586178714
21,1,1,1,2,0.597334817
21,1,1,1,3,0.596534259
21,1,1,1,4,0.592284292
21,1,1,1,5,0.574449679
21,1,1,1,6,0.593314445
21,1,1,1,7,0.600645308
21,1,1,1,8,0.587342821
21,1,1,1,9,0.597410047
21,1,1,1,10,0.595730731
21,1,2,2,1,0.862187244
21,1,2,2,2,0.841060142
21,1,2,2,3,0.837328171
21,1,2,2,4,0.833957028
21,1,2,2,5,0.837032368
21,1,2,2,6,0.826373237
21,1,2,2,7,0.847343962
21,1,2,2,8,0.859518566
21,1,2,2,9,0.844274884
21,1,2,2,10,0.824787138
21,2,1,3,1,0.580687955
21,2,1,3,2,0.586727202
21,2,1,3,3,0.575688125
21,2,1,3,4,0.58819366
21,2,1,3,5,0.575668606
21,2,1,3,6,0.580189272
21,2,1,3,7,0.564801538
21,2,1,3,8,0.596677592
21,2,1,3,9,0.576322302
21,2,1,3,10,0.569823731
21,2,2,4,1,0.561686642
21,2,2,4,2,0.549436809
21,2,2,4,3,0.56555474
21,2,2,4,4,0.563079851
21,2,2,4,5,0.555000662
21,2,2,4,6,0.55701452
21,2,2,4,7,0.562009692
21,2,2,4,8,0.558056986
21,2,2,4,9,0.556964589
21,2,2,4,10,0.552495153
22,1,1,1,1,0.602721143
22,1,1,1,2,0.61137931
22,1,1,1,3,0.594505653
22,1,1,1,4,0.576511561
22,1,1,1,5,0.596571595
22,1,1,1,6,0.60549365
22,1,1,1,7,0.589322045
22,1,1,1,8,0.602081001
22,1,1,1,9,0.57899455
22,1,1,1,10,0.593559386
22,1,2,2,1,0.815922502
22,1,2,2,2,0.777514552
22,1,2,2,3,0.776516785
22,1,2,2,4,0.797305386
22,1,2,2,5,0.790222092
22,1,2,2,6,0.794364094
22,1,2,2,7,0.803745212
22,1,2,2,8,0.795492431
22,1,2,2,9,0.791526118
22,1,2,2,10,0.786861949
22,2,1,3,1,0.548975416
22,2,1,3,2,0.543258617
22,2,1,3,3,0.549375433
22,2,1,3,4,0.547302775
22,2,1,3,5,0.541009071
22,2,1,3,6,0.542782921
22,2,1,3,7,0.539036649
22,2,1,3,8,0.534806791
22,2,1,3,9,0.547023841
22,2,1,3,10,0.534754175
22,2,2,4,1,0.525454641
22,2,2,4,2,0.523782304
22,2,2,4,3,0.515510387
22,2,2,4,4,0.538327481
22,2,2,4,5,0.530166507
22,2,2,4,6,0.516842425
22,2,2,4,7,0.533608545
22,2,2,4,8,0.515597226
22,2,2,4,9,0.522021736
22,2,2,4,10,0.515827721
23,1,1,1,1,0.613162327
23,1,1,1,2,0.617492158
23,1,1,1,3,0.588697816
23,1,1,1,4,0.621900762
23,1,1,1,5,0.62966417
23,1,1,1,6,0.600147181
23,1,1,1,7,0.619328744
23,1,1,1,8,0.65323257
23,1,1,1,9,0.637557476
23,1,1,1,10,0.58717706
23,1,2,2,1,0.744120276
23,1,2,2,2,0.737164654
23,1,2,2,3,0.716327558
23,1,2,2,4,0.762436976
23,1,2,2,5,0.765104663
23,1,2,2,6,0.779200904
23,1,2,2,7,0.748504246
23,1,2,2,8,0.759166666
23,1,2,2,9,0.759619902
23,1,2,2,10,0.772128002
23,2,1,3,1,0.452614385
23,2,1,3,2,0.455017385
23,2,1,3,3,0.461001967
23,2,1,3,4,0.462165194
